Date,DesignBuilder,Model,Error,Abs_Error,Pct_Error,Abs_Pct_Error,Year,Month_No,Month
2020-01-01,4571.354968,3943.141695,-628.2132729999998,628.2132729999998,-13.742386609606202,13.742386609606202,2020,1,2020-01
2020-01-02,3790.630963,4411.009463,620.3785000000003,620.3785000000003,16.36610121258064,16.36610121258064,2020,1,2020-01
2020-01-03,2872.942294,3981.514978,1108.5726840000002,1108.5726840000002,38.58666727539917,38.58666727539917,2020,1,2020-01
2020-01-04,5729.026656,3947.524309,-1781.502347,1781.502347,-31.096073625948932,31.096073625948932,2020,1,2020-01
2020-01-05,6552.019855,3866.15794,-2685.8619149999995,2685.8619149999995,-40.99288424699073,40.99288424699073,2020,1,2020-01
2020-01-06,4922.84657,3964.400161,-958.4464089999997,958.4464089999997,-19.469353662996646,19.469353662996646,2020,1,2020-01
2020-01-07,3487.08935,3996.213961,509.12461099999973,509.12461099999973,14.600274323340745,14.600274323340745,2020,1,2020-01
2020-01-08,3551.816202,2678.639812,-873.1763900000001,873.1763900000001,-24.583940731739474,24.583940731739474,2020,1,2020-01
2020-01-09,3008.100966,2692.512832,-315.5881340000001,315.5881340000001,-10.491274646929522,10.491274646929522,2020,1,2020-01
2020-01-10,3328.738508,2699.231268,-629.5072399999999,629.5072399999999,-18.91128541599459,18.91128541599459,2020,1,2020-01
2020-01-11,4575.775659,2705.90886,-1869.866799,1869.866799,-40.86447715858178,40.86447715858178,2020,1,2020-01
2020-01-12,5994.025382,2714.400856,-3279.6245259999996,3279.6245259999996,-54.714892196631006,54.714892196631006,2020,1,2020-01
2020-01-13,3936.910179,2725.2611,-1211.6490789999998,1211.6490789999998,-30.776650314835642,30.776650314835642,2020,1,2020-01
2020-01-14,4384.116202,2726.597851,-1657.5183510000002,1657.5183510000002,-37.80735442741807,37.80735442741807,2020,1,2020-01
2020-01-15,2984.174251,2745.218976,-238.9552749999998,238.9552749999998,-8.007416956966425,8.007416956966425,2020,1,2020-01
2020-01-16,3283.265884,2751.802589,-531.463295,531.463295,-16.187031869393373,16.187031869393373,2020,1,2020-01
2020-01-17,3511.143403,2753.350045,-757.7933579999999,757.7933579999999,-21.582523725818895,21.582523725818895,2020,1,2020-01
2020-01-18,6105.614975,2756.969549,-3348.6454260000005,3348.6454260000005,-54.84534219257742,54.84534219257742,2020,1,2020-01
2020-01-19,7217.374679,2780.139054,-4437.235624999999,4437.235624999999,-61.47991232755009,61.47991232755009,2020,1,2020-01
2020-01-20,4714.952385,2781.053742,-1933.8986429999995,1933.8986429999995,-41.01629210832422,41.01629210832422,2020,1,2020-01
2020-01-21,3769.431881,2789.431422,-980.0004589999999,980.0004589999999,-25.998624990140783,25.998624990140783,2020,1,2020-01
2020-01-22,3535.58914,2802.155423,-733.4337169999999,733.4337169999999,-20.74431411450709,20.74431411450709,2020,1,2020-01
2020-01-23,2836.890491,2810.379673,-26.5108180000002,26.5108180000002,-0.9345026917360907,0.9345026917360907,2020,1,2020-01
2020-01-24,3245.636191,2806.06138,-439.57481099999995,439.57481099999995,-13.54356388491479,13.54356388491479,2020,1,2020-01
2020-01-25,4961.964966,2820.603434,-2141.3615319999994,2141.3615319999994,-43.15551493557239,43.15551493557239,2020,1,2020-01
2020-01-26,7331.795066,2847.72158,-4484.073485999999,4484.073485999999,-61.15928562698317,61.15928562698317,2020,1,2020-01
2020-01-27,4294.285353,2845.371822,-1448.9135310000001,1448.9135310000001,-33.74050422587276,33.74050422587276,2020,1,2020-01
2020-01-28,4280.018595,2861.664888,-1418.3537069999998,1418.3537069999998,-33.13896132733974,33.13896132733974,2020,1,2020-01
2020-01-29,3228.224128,2862.122073,-366.10205499999984,366.10205499999984,-11.340664107693573,11.340664107693573,2020,1,2020-01
2020-01-30,4036.300591,2875.331669,-1160.968922,1160.968922,-28.76319282534822,28.76319282534822,2020,1,2020-01
2020-01-31,2919.459321,2905.860271,-13.599049999999806,13.599049999999806,-0.46580714114357774,0.46580714114357774,2020,1,2020-01
2020-02-01,6687.162185,2882.13215,-3805.030035,3805.030035,-56.900519678363395,56.900519678363395,2020,2,2020-02
2020-02-02,7742.906956,2889.007234,-4853.899722,4853.899722,-62.68833849590172,62.68833849590172,2020,2,2020-02
2020-02-03,3980.435568,2903.60258,-1076.8329879999997,1076.8329879999997,-27.053144551742175,27.053144551742175,2020,2,2020-02
2020-02-04,3601.866053,2970.778008,-631.088045,631.088045,-17.521141422634685,17.521141422634685,2020,2,2020-02
2020-02-05,3644.459344,2942.287184,-702.1721600000001,702.1721600000001,-19.266840255908203,19.266840255908203,2020,2,2020-02
2020-02-06,3618.436111,2946.271783,-672.1643279999998,672.1643279999998,-18.57610048597041,18.57610048597041,2020,2,2020-02
2020-02-07,3333.638175,2942.272787,-391.36538800000017,391.36538800000017,-11.739887997892877,11.739887997892877,2020,2,2020-02
2020-02-08,4924.291934,2997.70444,-1926.5874939999999,1926.5874939999999,-39.124152666453185,39.124152666453185,2020,2,2020-02
2020-02-09,6189.283166,2959.589805,-3229.693361,3229.693361,-52.18202616325407,52.18202616325407,2020,2,2020-02
2020-02-10,4503.183368,2975.705771,-1527.477597,1527.477597,-33.9199511140138,33.9199511140138,2020,2,2020-02
2020-02-11,4285.955701,3006.863348,-1279.092353,1279.092353,-29.84380712804759,29.84380712804759,2020,2,2020-02
2020-02-12,3269.240819,3018.590538,-250.65028100000018,250.65028100000018,-7.666926203272766,7.666926203272766,2020,2,2020-02
2020-02-13,3191.107524,3024.307305,-166.8002190000002,166.8002190000002,-5.227032237099893,5.227032237099893,2020,2,2020-02
2020-02-14,4080.399657,3037.056148,-1043.3435089999998,1043.3435089999998,-25.569640150570176,25.569640150570176,2020,2,2020-02
2020-02-15,6261.339879,3063.389178,-3197.950701,3197.950701,-51.07454255479173,51.07454255479173,2020,2,2020-02
2020-02-16,7419.98283,3029.221158,-4390.7616720000005,4390.7616720000005,-59.17482253796537,59.17482253796537,2020,2,2020-02
2020-02-17,4024.324638,3060.128782,-964.1958560000003,964.1958560000003,-23.959196703355033,23.959196703355033,2020,2,2020-02
2020-02-18,4350.402517,3056.342742,-1294.0597750000006,1294.0597750000006,-29.74574812200074,29.74574812200074,2020,2,2020-02
2020-02-19,4406.613683,3081.806718,-1324.8069649999998,1324.8069649999998,-30.064059622718688,30.064059622718688,2020,2,2020-02
2020-02-20,4797.212478,3109.463524,-1687.7489540000006,1687.7489540000006,-35.181867839709234,35.181867839709234,2020,2,2020-02
2020-02-21,3198.172385,3080.768461,-117.40392399999973,117.40392399999973,-3.6709692245060057,3.6709692245060057,2020,2,2020-02
2020-02-22,6205.261787,3088.819071,-3116.4427160000005,3116.4427160000005,-50.22258243042922,50.22258243042922,2020,2,2020-02
2020-02-23,9263.858706,3150.694965,-6113.163741,6113.163741,-65.98938881743346,65.98938881743346,2020,2,2020-02
2020-02-24,5559.398779,3123.7798,-2435.6189790000003,2435.6189790000003,-43.81083415351091,43.81083415351091,2020,2,2020-02
2020-02-25,5909.308645,3125.566896,-2783.7417490000003,2783.7417490000003,-47.10773994442459,47.10773994442459,2020,2,2020-02
2020-02-26,5294.529407,3204.938087,-2089.59132,2089.59132,-39.46698864751437,39.46698864751437,2020,2,2020-02
2020-02-27,3816.548348,3158.342317,-658.2060309999997,658.2060309999997,-17.24610750299867,17.24610750299867,2020,2,2020-02
2020-02-28,3351.784309,3167.594705,-184.18960400000014,184.18960400000014,-5.4952701910270845,5.4952701910270845,2020,2,2020-02
2020-03-01,5048.397364,3181.400974,-1866.9963900000002,1866.9963900000002,-36.981961905643686,36.981961905643686,2020,3,2020-03
2020-03-02,6606.613847,3169.049216,-3437.5646309999997,3437.5646309999997,-52.03217125458248,52.03217125458248,2020,3,2020-03
2020-03-03,3968.502298,3262.45415,-706.0481479999999,706.0481479999999,-17.79129996613145,17.79129996613145,2020,3,2020-03
2020-03-04,3439.513254,3236.10812,-203.4051340000001,203.4051340000001,-5.913776717198256,5.913776717198256,2020,3,2020-03
2020-03-05,2549.206316,3258.544353,709.338037,709.338037,27.825838675664098,27.825838675664098,2020,3,2020-03
2020-03-06,3494.425829,3213.54749,-280.87833899999987,280.87833899999987,-8.03789671736655,8.03789671736655,2020,3,2020-03
2020-03-07,4307.708989,3245.879159,-1061.8298299999997,1061.8298299999997,-24.64952559960405,24.64952559960405,2020,3,2020-03
2020-03-08,6051.020481,3281.156415,-2769.8640659999996,2769.8640659999996,-45.7751560203321,45.7751560203321,2020,3,2020-03
2020-03-09,6326.173239,3291.401065,-3034.7721739999997,3034.7721739999997,-47.97168935069689,47.97168935069689,2020,3,2020-03
2020-03-10,4095.108537,3304.508138,-790.6003989999999,790.6003989999999,-19.305969349940085,19.305969349940085,2020,3,2020-03
2020-03-11,3282.108656,3312.281726,30.17307000000028,30.17307000000028,0.9193196558206902,0.9193196558206902,2020,3,2020-03
2020-03-12,2887.916836,3328.874104,440.9572680000001,440.9572680000001,15.269043156061304,15.269043156061304,2020,3,2020-03
2020-03-13,3695.851616,3328.585941,-367.2656750000001,367.2656750000001,-9.93724080831713,9.93724080831713,2020,3,2020-03
2020-03-14,2914.06609,3342.569141,428.50305100000014,428.50305100000014,14.704644224455466,14.704644224455466,2020,3,2020-03
2020-03-15,5498.018115,3354.377524,-2143.640591,2143.640591,-38.98933299531335,38.98933299531335,2020,3,2020-03
2020-03-16,7301.497708,3369.975409,-3931.5222989999997,3931.5222989999997,-53.84542262736542,53.84542262736542,2020,3,2020-03
2020-03-17,4955.951916,3361.409564,-1594.542352,1594.542352,-32.17429020754042,32.17429020754042,2020,3,2020-03
2020-03-18,3188.066052,3421.741976,233.67592399999967,233.67592399999967,7.329707734675243,7.329707734675243,2020,3,2020-03
2020-03-19,4229.980533,3406.75398,-823.226553,823.226553,-19.4617102035727,19.4617102035727,2020,3,2020-03
2020-03-20,3185.418247,3395.059759,209.64151200000015,209.64151200000015,6.581286843491864,6.581286843491864,2020,3,2020-03
2020-03-21,2923.392718,3378.280659,454.88794099999996,454.88794099999996,15.560274820387644,15.560274820387644,2020,3,2020-03
2020-03-22,4544.159148,3449.929224,-1094.2299239999998,1094.2299239999998,-24.07992080298504,24.07992080298504,2020,3,2020-03
2020-03-23,6135.801446,3434.914016,-2700.88743,2700.88743,-44.018494629755985,44.018494629755985,2020,3,2020-03
2020-03-24,4691.850282,3468.541368,-1223.3089140000002,1223.3089140000002,-26.07305946426191,26.07305946426191,2020,3,2020-03
2020-03-25,3706.781181,3419.084394,-287.69678699999986,287.69678699999986,-7.761364185041702,7.761364185041702,2020,3,2020-03
2020-03-26,3071.861097,3489.67287,417.8117729999999,417.8117729999999,13.601258644410635,13.601258644410635,2020,3,2020-03
2020-03-27,2817.191265,3494.169703,676.9784380000001,676.9784380000001,24.03026185728288,24.03026185728288,2020,3,2020-03
2020-03-28,3385.279251,3510.997033,125.71778200000017,125.71778200000017,3.713660607551462,3.713660607551462,2020,3,2020-03
2020-03-29,5169.985624,3530.562088,-1639.4235359999998,1639.4235359999998,-31.710408021049457,31.710408021049457,2020,3,2020-03
2020-03-30,4802.621811,3520.51222,-1282.109591,1282.109591,-26.6960348213019,26.6960348213019,2020,3,2020-03
2020-03-31,3128.958291,3518.095007,389.136716,389.136716,12.436622025908623,12.436622025908623,2020,3,2020-03
2020-04-01,3159.951454,3496.93674,336.9852860000001,336.9852860000001,10.664255160421211,10.664255160421211,2020,4,2020-04
2020-04-02,3020.315139,3515.464094,495.1489550000001,495.1489550000001,16.393950042045603,16.393950042045603,2020,4,2020-04
2020-04-03,3090.341344,3601.880061,511.5387169999999,511.5387169999999,16.552822489760533,16.552822489760533,2020,4,2020-04
2020-04-04,2324.960495,3687.240242,1362.279747,1362.279747,58.59367287872993,58.59367287872993,2020,4,2020-04
2020-04-05,4037.294028,3559.218418,-478.07560999999987,478.07560999999987,-11.841486071719915,11.841486071719915,2020,4,2020-04
2020-04-06,5468.956809,3541.430015,-1927.5267940000003,1927.5267940000003,-35.244871395363035,35.244871395363035,2020,4,2020-04
2020-04-07,4097.554221,3615.504059,-482.05016200000046,482.05016200000046,-11.76433882264423,11.76433882264423,2020,4,2020-04
2020-04-08,3394.994751,3802.991708,407.99695699999984,407.99695699999984,12.01760199717021,12.01760199717021,2020,4,2020-04
