Month,Year,Month_No,Days,DesignBuilder_kWh,Model_kWh,Error_kWh,Monthly_Pct_Error,Monthly_Abs_Pct_Error,Daily_MAPE_pct,DesignBuilder_MWh,Model_MWh,Error_MWh
2020-01,2020,1,31,132961.515054,94847.752676,-38113.762377999985,-28.66525878749257,28.66525878749257,28.03571196454438,132.961515054,94.847752676,-38.11376237799998
2020-02,2020,2,28,136911.104952,84997.025485,-51914.07946699999,-37.9180925354453,37.9180925354453,32.481772387268215,136.911104952,84.99702548500001,-51.914079466999986
2020-03,2020,3,31,131403.428037,104280.436786,-27122.991251,-20.641007358927368,20.641007358927368,23.070278835280984,131.403428037,104.28043678600001,-27.122991251
2020-04,2020,4,30,103252.251028,132038.123115,28785.872086999996,27.87917144701652,27.87917144701652,35.172767070507966,103.252251028,132.038123115,28.785872086999998
2020-05,2020,5,31,124920.155873,181385.003425,56464.84755200001,45.20075015708831,45.20075015708831,48.41396700442993,124.920155873,181.385003425,56.46484755200001
2020-06,2020,6,30,138529.86594,245662.505865,107132.63992500002,77.33541009229106,77.33541009229106,78.00076151508117,138.52986593999998,245.662505865,107.13263992500002
2020-07,2020,7,31,162582.85465,242984.602179,80401.74752900001,49.45278375268091,49.45278375268091,51.2766669286695,162.58285465,242.984602179,80.40174752900002
2020-08,2020,8,31,181352.07191,175570.286746,-5781.785164000001,-3.188155008711089,3.188155008711089,12.760356423847934,181.35207191,175.570286746,-5.781785164
2020-09,2020,9,30,152434.14155,76887.601248,-75546.540302,-49.56011791965905,49.56011791965905,49.38045358380989,152.43414155,76.88760124800001,-75.546540302
2020-10,2020,10,31,123249.022258,68413.550934,-54835.471324,-44.491607575767745,44.491607575767745,43.240432909313014,123.249022258,68.413550934,-54.835471324
2020-11,2020,11,30,105311.376672,103354.283235,-1957.0934370000032,-1.8583874780172271,1.8583874780172271,19.511307798293288,105.311376672,103.354283235,-1.9570934370000033
2020-12,2020,12,31,124551.977819,125069.956244,517.9784249999939,0.4158733037164007,0.4158733037164007,21.015266492122645,124.551977819,125.069956244,0.5179784249999939
2021-01,2021,1,31,134964.254533,94758.695444,-40205.559089,-29.789783397180454,29.789783397180454,28.107910913522957,134.964254533,94.758695444,-40.205559089000005
2021-02,2021,2,28,135672.709791,84997.025485,-50675.684305999996,-37.35142047657518,37.35142047657518,33.24110612657967,135.672709791,84.99702548500001,-50.675684305999994
2021-03,2021,3,31,130029.885919,104280.436786,-25749.449132999987,-19.802716084085613,19.802716084085613,22.96376575069667,130.02988591899998,104.28043678600001,-25.749449132999988
2021-04,2021,4,30,104819.101046,132451.227833,27632.126787000016,26.36172845526849,26.36172845526849,32.04327875261523,104.819101046,132.45122783300002,27.632126787000015
2021-05,2021,5,31,123671.668147,181992.859173,58321.191026,47.15808551775788,47.15808551775788,48.8050621499679,123.671668147,181.992859173,58.321191026
2021-06,2021,6,30,138839.24995,246320.097812,107480.847862,77.41387820858074,77.41387820858074,78.4239820082047,138.83924995,246.320097812,107.48084786199999
2021-07,2021,7,31,162720.41038000002,243662.568037,80942.15765699997,49.743088447218284,49.743088447218284,51.474833401436655,162.72041038,243.662568037,80.94215765699997
2021-08,2021,8,31,180259.05011,176172.40173,-4086.6483799999987,-2.26709747860437,2.26709747860437,12.322459701130757,180.25905011,176.17240173000002,-4.086648379999999
